Row_num,Country,Year,Disease Name,Country_Population,Incidence_Rate,Prevalence_Rate,Mortality_Rate,Population_Affected,Affected_Male,Affected_Female,Age_0_18_Pct,Age_19_35_Pct,Age_36_60_Pct,Age_61_Plus_Pct,Urban_Population_Pct,Rural_Population_Pct,Healthcare_Access,Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Recovery_Rate,DALYs,Improvement_5_Years,Avg_Treatment_Cost_USD,Vaccine_Treatment_Availability,Health_Index,Per_Capita_Income_USD,Education_Index,Urbanization_Rate,Population Coverage (%),Gender Ratio (M:F),Urban_Rural_Ratio,Severity Score,Risk Score,Record_ID,Country_encoded,Disease Name_encoded,Treatment_Type_encoded,Vaccine_Treatment_Availability_encoded
4195.0,Argentina,2001,Diabetes,37624825.0,0.49,5.14,0.03,184362.0,94762.0,89600.0,9.0,16.0,40.0,35.0,89.0,11.0,60.01,1.26,3.5,Medication,88.83,26.32,-3.91,119.0,Medium,56.8,7743.15,0.75,89.1,0.49,1.06,8.09,1.01,0.8,27,0,6,0,2
595.0,Argentina,2001,Ebola,37624825.0,0.0,0.0,0.0,1850.0,934.0,916.0,14.0,26.0,35.0,25.0,89.0,11.0,51.01,1.57,2.12,Medication,68.18,0.0,-3.91,3086.0,Medium,25.8,7743.15,0.75,89.1,0.0,1.02,8.09,0.0,0.0,28,0,7,0,2
5669.0,Argentina,2001,HIVADS,37624825.0,0.07,0.42,0.0,26337.0,14406.0,11931.0,14.0,31.0,35.0,20.0,89.0,11.0,61.01,1.15,3.1,Medication,62.77,1.85,-3.91,61.0,Low,36.0,7743.15,0.75,89.1,0.07,1.21,8.09,0.31,0.21,29,0,8,0,1
795.0,Argentina,2001,Hepatitis,37624825.0,0.25,2.34,0.01,94062.0,56908.0,37154.0,9.0,16.0,35.0,40.0,89.0,11.0,69.01,1.53,1.3,Medication,95.45,12.25,-3.91,31.0,High,59.7,7743.15,0.75,89.1,0.25,1.53,8.09,0.78,0.57,30,0,9,0,0
1838.0,Argentina,2001,Hypertension,37624825.0,0.8,11.82,0.03,300999.0,158927.0,142072.0,6.0,9.0,35.0,50.0,89.0,11.0,64.01,1.36,4.17,Medication,86.52,40.78,-3.91,128.0,Medium,58.8,7743.15,0.75,89.1,0.8,1.12,8.09,1.14,1.0,31,0,10,0,2
7562.0,Argentina,2001,Influenza,37624825.0,7.3,9.67,0.05,2746612.0,1400772.0,1345840.0,29.0,26.0,30.0,15.0,89.0,11.0,61.01,1.02,1.21,Medication,98.99,72.47,-3.91,13.0,High,56.7,7743.15,0.75,89.1,7.3,1.04,8.09,1.32,3.71,32,0,11,0,0
8591.0,Argentina,2001,Leprosy,37624825.0,0.0,0.0,0.01,1106.0,662.0,444.0,14.0,21.0,40.0,25.0,89.0,11.0,50.01,2.28,1.62,Medication,58.52,0.0,-3.91,3200.0,Medium,43.2,7743.15,0.75,89.1,0.0,1.49,8.09,0.01,0.01,33,0,12,0,2
5240.0,Argentina,2001,Malaria,37624825.0,0.01,0.0,0.0,2894.0,1531.0,1363.0,39.0,31.0,25.0,5.0,89.0,11.0,52.01,2.09,1.58,Medication,92.48,0.0,-3.91,49.0,Medium,49.3,7743.15,0.75,89.1,0.01,1.12,8.09,0.0,0.0,34,0,13,0,2
7439.0,Argentina,2001,Measles,37624825.0,0.26,0.31,0.0,97825.0,49597.0,48228.0,54.0,21.0,8.0,17.0,89.0,11.0,65.01,1.96,4.6,Medication,69.46,3.26,-3.91,30.0,Medium,52.4,7743.15,0.75,89.1,0.26,1.03,8.09,0.43,0.36,35,0,14,0,2
2558.0,Argentina,2001,Parkinson'S Disease,37624825.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,70.01,1.43,3.43,Medication,65.37,0.0,-3.91,3109.0,Low,39.6,7743.15,0.75,89.1,0.19,1.12,3.55,0.01,0.08,36,0,15,0,1
1968.0,Argentina,2001,Polio,37624825.0,0.01,0.0,0.0,2715.0,1352.0,1363.0,44.0,21.0,10.0,25.0,89.0,11.0,55.01,1.94,4.81,Medication,67.52,0.0,-3.91,5.0,High,56.7,7743.15,0.75,89.1,0.01,0.99,8.09,0.0,0.0,37,0,16,0,0
2607.0,Argentina,2001,Rabies,37624825.0,0.0,0.0,0.0,508.0,328.0,180.0,19.0,26.0,35.0,20.0,89.0,11.0,59.01,1.27,4.58,Medication,78.4,0.09,-3.91,32.0,Medium,50.5,7743.15,0.75,89.1,0.0,1.82,8.09,0.03,0.02,38,0,17,0,2
8409.0,Argentina,2001,Tubrculosis,37624825.0,0.27,2.35,0.03,101587.0,60647.0,40940.0,24.0,26.0,30.0,20.0,89.0,11.0,62.01,2.49,3.02,Medication,65.69,11.3,-3.91,121.0,High,57.4,7743.15,0.75,89.1,0.27,1.48,8.09,0.77,0.57,39,0,18,0,0
9242.0,Argentina,2001,Zika,37624825.0,0.0,0.0,0.0,1197.0,587.0,610.0,29.0,31.0,10.0,30.0,89.0,11.0,52.01,1.32,2.83,Medication,87.5,0.0,-3.91,31.0,Medium,28.9,7743.15,0.75,89.1,0.0,0.96,8.09,0.0,0.0,40,0,20,0,2
6882.0,Argentina,2002,Alzheimer'S Disease,38029349.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,65.01,2.02,3.5,Medication,68.8,0.0,-3.91,1582.0,Low,40.5,2907.85,0.77,89.3,0.19,1.12,3.55,0.01,0.08,41,0,0,0,1
9296.0,Argentina,2002,Asthma,38029349.0,0.59,7.02,0.06,224373.0,102090.0,122283.0,29.0,26.0,25.0,20.0,89.0,11.0,61.01,1.94,4.85,Medication,74.17,32.79,-3.91,31.0,High,66.2,2907.85,0.77,89.3,0.59,0.83,8.09,1.1,0.9,42,0,1,0,0
4865.0,Argentina,2002,COVID-19,38029349.0,2.64,3.84,0.01,1003975.0,527087.0,476888.0,19.0,26.0,30.0,25.0,89.0,11.0,50.01,1.01,4.38,Medication,51.73,26.31,-3.91,640.0,Medium,24.5,2907.85,0.77,89.3,2.64,1.11,8.09,1.0,1.66,43,0,2,0,2
7444.0,Argentina,2002,Cancer,38029349.0,0.94,18.07,0.075,357476.0,176236.0,181240.0,9.0,11.0,35.0,45.0,89.0,11.0,52.01,2.09,3.45,Therapy,92.92,77.875,-3.91,3113.0,Medium,46.1,2907.85,0.77,89.3,0.94,0.97,8.09,1.41,1.22,44,0,3,2,2
8203.0,Argentina,2002,Cholera,38029349.0,0.0,0.0,0.0,654.0,335.0,319.0,29.0,31.0,25.0,15.0,89.0,11.0,67.01,1.84,1.27,Medication,56.69,0.0,-3.91,92.0,Medium,45.8,2907.85,0.77,89.3,0.0,1.05,8.09,0.0,0.0,45,0,4,0,2
4552.0,Argentina,2002,Dengue,38029349.0,6.21,6.84,0.06,2361623.0,1185535.0,1176088.0,34.0,36.0,25.0,5.0,89.0,11.0,60.01,2.42,4.37,Medication,50.84,66.4,-3.91,60.0,Medium,48.6,2907.85,0.77,89.3,6.21,1.01,8.09,1.31,3.27,46,0,5,0,2
2702.0,Argentina,2002,Diabetes,38029349.0,0.37,5.8,0.05,140709.0,70636.0,70073.0,9.0,16.0,40.0,35.0,89.0,11.0,62.01,1.29,4.16,Medication,61.03,21.89,-3.91,129.0,Medium,52.9,2907.85,0.77,89.3,0.37,1.01,8.09,0.97,0.73,47,0,6,0,2
1082.0,Argentina,2002,Ebola,38029349.0,0.0,0.0,0.0,790.0,389.0,401.0,14.0,26.0,35.0,25.0,89.0,11.0,65.01,1.89,3.43,Medication,94.33,0.0,-3.91,3189.0,Medium,34.4,2907.85,0.77,89.3,0.0,0.97,8.09,0.0,0.0,48,0,7,0,2
5421.0,Argentina,2002,HIVADS,38029349.0,0.03,0.23,0.0,11409.0,6400.0,5009.0,14.0,31.0,35.0,20.0,89.0,11.0,58.01,1.82,2.59,Medication,63.71,1.23,-3.91,63.0,Low,36.4,2907.85,0.77,89.3,0.03,1.28,8.09,0.24,0.16,49,0,8,0,1
2128.0,Argentina,2002,Hepatitis,38029349.0,0.35,2.87,0.03,133103.0,79729.0,53374.0,9.0,16.0,35.0,40.0,89.0,11.0,67.01,2.25,4.85,Medication,98.24,15.99,-3.91,30.0,High,66.4,2907.85,0.77,89.3,0.35,1.49,8.09,0.87,0.66,50,0,9,0,0
8326.0,Argentina,2002,Hypertension,38029349.0,1.13,16.36,0.075,429732.0,221312.0,208420.0,6.0,9.0,35.0,50.0,89.0,11.0,66.01,1.01,4.04,Medication,67.25,60.36,-3.91,125.0,High,62.3,2907.85,0.77,89.3,1.13,1.06,8.09,1.36,1.27,51,0,10,0,0
4054.0,Argentina,2002,Influenza,38029349.0,9.3,9.8,0.05,3536729.0,1782511.0,1754218.0,29.0,26.0,30.0,15.0,89.0,11.0,73.01,2.32,1.69,Medication,87.97,77.875,-3.91,13.0,High,62.1,2907.85,0.77,89.3,9.3,1.02,8.09,1.36,4.54,52,0,11,0,0
3638.0,Argentina,2002,Leprosy,38029349.0,0.01,0.0,0.01,2518.0,1531.0,987.0,14.0,21.0,40.0,25.0,89.0,11.0,61.01,1.56,4.03,Medication,72.85,0.0,-3.91,2969.0,Medium,50.0,2907.85,0.77,89.3,0.01,1.55,8.09,0.01,0.01,53,0,12,0,2
6142.0,Argentina,2002,Malaria,38029349.0,0.0,0.0,0.0,719.0,382.0,337.0,39.0,31.0,25.0,5.0,89.0,11.0,52.01,2.35,1.86,Medication,82.72,0.0,-3.91,54.0,Medium,48.6,2907.85,0.77,89.3,0.0,1.13,8.09,0.0,0.0,54,0,13,0,2
3532.0,Argentina,2002,Measles,38029349.0,3.09,4.46,0.01,1175107.0,589904.0,585203.0,54.0,21.0,8.0,17.0,89.0,11.0,65.01,2.43,4.33,Medication,67.98,36.06,-3.91,32.0,Medium,53.0,2907.85,0.77,89.3,3.09,1.01,8.09,1.09,1.89,55,0,14,0,2
890.0,Argentina,2002,Parkinson'S Disease,38029349.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,57.01,1.12,1.11,Medication,61.31,0.0,-3.91,3031.0,Low,32.3,2907.85,0.77,89.3,0.19,1.12,3.55,0.01,0.08,56,0,15,0,1
7142.0,Argentina,2002,Polio,38029349.0,0.01,0.0,0.0,1998.0,1021.0,977.0,44.0,21.0,10.0,25.0,89.0,11.0,53.01,2.01,3.95,Medication,73.66,0.0,-3.91,5.0,High,56.3,2907.85,0.77,89.3,0.01,1.05,8.09,0.0,0.0,57,0,16,0,0
5834.0,Argentina,2002,Rabies,38029349.0,0.01,0.01,0.0,3803.0,2483.0,1320.0,19.0,26.0,35.0,20.0,89.0,11.0,67.01,2.4,2.42,Medication,78.19,0.18,-3.91,31.0,Medium,52.7,2907.85,0.77,89.3,0.01,1.88,8.09,0.05,0.03,58,0,17,0,2
9316.0,Argentina,2002,Tubrculosis,38029349.0,0.18,1.33,0.02,68453.0,41414.0,27039.0,24.0,26.0,30.0,20.0,89.0,11.0,57.01,2.11,4.27,Medication,88.36,7.71,-3.91,130.0,Medium,53.6,2907.85,0.77,89.3,0.18,1.53,8.09,0.66,0.47,59,0,18,0,2
7200.0,Argentina,2002,Zika,38029349.0,0.0,0.0,0.0,937.0,458.0,479.0,29.0,31.0,10.0,30.0,89.0,11.0,62.01,1.73,4.16,Medication,58.55,0.0,-3.91,31.0,Medium,29.2,2907.85,0.77,89.3,0.0,0.96,8.09,0.0,0.0,60,0,20,0,2
337.0,Argentina,2003,Alzheimer'S Disease,38424282.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,66.02,1.91,1.06,Medication,75.19,0.0,-3.91,1566.0,Low,38.5,3655.09,0.78,89.4,0.19,1.12,3.55,0.01,0.08,61,0,0,0,1
2760.0,Argentina,2003,Asthma,38424282.0,0.29,3.02,0.0,111430.0,51369.0,60061.0,29.0,26.0,25.0,21.0,89.0,11.0,74.02,2.33,1.52,Medication,63.02,15.85,-3.91,31.0,High,64.1,3655.09,0.78,89.4,0.29,0.86,8.09,0.85,0.63,62,0,1,0,0
1975.0,Argentina,2003,COVID-19,38424282.0,2.44,2.63,0.02,937552.0,503465.0,434087.0,19.0,26.0,30.0,26.0,89.0,11.0,72.02,1.26,2.69,Medication,74.75,20.92,-3.91,644.0,Medium,31.1,3655.09,0.78,89.4,2.44,1.16,8.09,0.94,1.54,63,0,2,0,2
9484.0,Argentina,2003,Cancer,38424282.0,0.83,14.39,0.05,318922.0,157229.0,161693.0,9.0,11.0,35.0,46.0,89.0,11.0,50.02,1.03,2.75,Medication,95.43,59.31,-3.91,3181.0,Medium,42.6,3655.09,0.78,89.4,0.83,0.97,8.09,1.26,1.09,64,0,3,0,2
6044.0,Argentina,2003,Cholera,38424282.0,0.0,0.0,0.0,1627.0,836.0,791.0,29.0,31.0,25.0,16.0,89.0,11.0,61.02,2.2,3.84,Medication,57.82,0.0,-3.91,96.0,Medium,48.8,3655.09,0.78,89.4,0.0,1.06,8.09,0.0,0.0,65,0,4,0,2
5657.0,Argentina,2003,Dengue,38424282.0,1.65,2.36,0.0,634001.0,321439.0,312562.0,34.0,36.0,25.0,6.0,89.0,11.0,56.02,1.96,2.13,Medication,92.35,16.8,-3.91,62.0,Medium,50.7,3655.09,0.78,89.4,1.65,1.03,8.09,0.86,1.18,66,0,5,0,2
2729.0,Argentina,2003,Diabetes,38424282.0,0.26,2.71,0.02,99903.0,50951.0,48952.0,9.0,16.0,40.0,36.0,89.0,11.0,54.02,1.3,2.12,Medication,55.3,13.08,-3.91,123.0,Medium,46.3,3655.09,0.78,89.4,0.26,1.04,8.09,0.81,0.59,67,0,6,0,2
7590.0,Argentina,2003,Ebola,38424282.0,0.0,0.0,0.0,639.0,320.0,320.0,14.0,26.0,35.0,26.0,89.0,11.0,56.02,1.44,2.38,Medication,72.35,0.0,-3.91,3322.0,Medium,27.4,3655.09,0.78,89.4,0.0,1.0,8.09,0.0,0.0,68,0,7,0,2
8044.0,Argentina,2003,HIVADS,38424282.0,0.17,1.22,0.02,65321.0,35535.0,29786.0,14.0,31.0,35.0,21.0,89.0,11.0,64.02,1.16,3.62,Therapy,61.82,4.9,-3.91,65.0,Low,37.2,3655.09,0.78,89.4,0.17,1.19,8.09,0.55,0.4,69,0,8,2,1
734.0,Argentina,2003,Hepatitis,38424282.0,0.35,2.06,0.04,134485.0,81498.0,52987.0,9.0,16.0,35.0,41.0,89.0,11.0,52.02,1.28,3.68,Medication,53.56,12.9,-3.91,33.0,Medium,42.9,3655.09,0.78,89.4,0.35,1.54,8.09,0.82,0.63,70,0,9,0,2
6558.0,Argentina,2003,Hypertension,38424282.0,1.85,24.93,0.075,710849.0,375328.0,335521.0,6.0,9.0,35.0,51.0,89.0,11.0,69.02,1.54,3.9,Medication,83.04,77.875,-3.91,131.0,High,67.8,3655.09,0.78,89.4,1.85,1.12,8.09,1.49,1.63,71,0,10,0,0
3973.0,Argentina,2003,Influenza,38424282.0,4.53,6.44,0.03,1740620.0,877272.0,863348.0,29.0,26.0,30.0,16.0,89.0,11.0,67.02,1.28,1.57,Vaccination,89.04,63.76,-3.91,13.0,High,57.7,3655.09,0.78,89.4,4.53,1.02,8.09,1.27,2.57,72,0,11,4,0
7468.0,Argentina,2003,Leprosy,38424282.0,0.0,0.0,0.01,392.0,234.0,158.0,14.0,21.0,40.0,26.0,89.0,11.0,75.02,1.14,1.15,Medication,57.18,0.0,-3.91,3309.0,Medium,46.0,3655.09,0.78,89.4,0.0,1.48,8.09,0.01,0.01,73,0,12,0,2
7506.0,Argentina,2003,Malaria,38424282.0,0.0,0.0,0.0,491.0,253.0,238.0,39.0,31.0,25.0,6.0,89.0,11.0,66.02,1.9,1.05,Medication,64.65,0.0,-3.91,50.0,Medium,46.8,3655.09,0.78,89.4,0.0,1.06,8.09,0.0,0.0,74,0,13,0,2
2284.0,Argentina,2003,Measles,38424282.0,2.47,2.55,0.02,949080.0,470744.0,478336.0,54.0,21.0,8.0,18.0,89.0,11.0,52.02,2.43,3.89,Medication,56.3,21.46,-3.91,32.0,Medium,46.8,3655.09,0.78,89.4,2.47,0.98,8.09,0.95,1.56,75,0,14,0,2
1683.0,Argentina,2003,Parkinson'S Disease,38424282.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,61.02,1.47,3.59,Medication,83.6,0.0,-3.91,3122.0,Low,40.7,3655.09,0.78,89.4,0.19,1.12,3.55,0.01,0.08,76,0,15,0,1
8430.0,Argentina,2003,Polio,38424282.0,0.0,0.0,0.0,1592.0,796.0,796.0,44.0,21.0,10.0,26.0,89.0,11.0,58.02,1.31,2.84,Medication,57.54,0.0,-3.91,5.0,High,51.4,3655.09,0.78,89.4,0.0,1.0,8.09,0.0,0.0,77,0,16,0,0
4020.0,Argentina,2003,Rabies,38424282.0,0.01,0.0,0.0,2766.0,1828.0,938.0,19.0,26.0,35.0,21.0,89.0,11.0,65.02,2.22,2.16,Medication,74.06,0.02,-3.91,32.0,Medium,50.6,3655.09,0.78,89.4,0.01,1.95,8.09,0.01,0.01,78,0,17,0,2
2026.0,Argentina,2003,Tubrculosis,38424282.0,0.17,1.43,0.01,65321.0,39062.0,26259.0,24.0,26.0,30.0,21.0,89.0,11.0,54.02,1.91,4.86,Medication,54.15,7.96,-3.91,123.0,Medium,46.9,3655.09,0.78,89.4,0.17,1.49,8.09,0.66,0.46,79,0,18,0,2
9085.0,Argentina,2003,Zika,38424282.0,0.0,0.0,0.0,398.0,189.0,209.0,29.0,31.0,10.0,31.0,89.0,11.0,73.02,1.16,3.62,Medication,61.17,0.0,-3.91,33.0,Medium,30.1,3655.09,0.78,89.4,0.0,0.9,8.09,0.0,0.0,80,0,20,0,2
2954.0,Argentina,2004,Alzheimer'S Disease,38815916.0,0.19,1.14,0.01,141744.0,80128.0,61579.0,25.0,25.0,25.0,25.0,78.0,22.0,69.03,1.16,3.33,Medication,79.35,0.0,-3.91,1615.0,Low,40.8,4275.25,0.79,89.5,0.19,1.12,3.55,0.01,0.08,81,0,0,0,1
3674.0,Argentina,2004,Asthma,38815916.0,0.77,15.24,0.075,298883.0,136291.0,162592.0,28.0,26.0,25.0,21.0,90.0,10.0,54.03,1.35,1.78,Medication,56.77,74.29,-3.91,34.0,Medium,46.3,4275.25,0.79,89.5,0.77,0.84,9.0,1.37,1.13,82,0,1,0,2
1509.0,Argentina,2004,COVID-19,38815916.0,1.07,1.53,0.01,415330.0,220956.0,194374.0,18.0,26.0,30.0,26.0,90.0,10.0,69.03,1.03,3.49,Medication,75.52,12.46,-3.91,648.0,Medium,30.9,4275.25,0.79,89.5,1.07,1.14,9.0,0.79,0.9,83,0,2,0,2
