Row_num,Country,Year,Disease Name,Country_pop,Incidence Rate mn (%),Prevalence rate (%),Mortality Rate per 100 people (%),Population affected,Pop_affected(Male),Pop_affected(Female),Ages 0-18 (%),Ages 19-35 (%),Ages 36-60 (%),Ages 61+ (%),Pop_affected_U (%),Pop_affected_R (%),Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment type,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Average Annual Treatment Cost (USD),Availability of Vaccines/Treatment,Composite Health Index (CHI),Per Capita Income (USD),Education Index,Urbanization Rate (%)
14,France,2004.00,Measles,62707588,0.75,'0.82,0.01,470307,234683,235624,'48,'20,'11,'21,78,22,78.04,3.68,10.85,Medication,52.4,7.52,,'327,Medium,64.7,'33405.58,0.75,77.6
15,Australia,2020.00,Zika,25649248,0.01,'0,0,1336,676,660,'19,'30,'15,'36,86,14,91.2,4.98,7.4,Medication,58.19,0,-40.95,'1336,Medium,53.9,'55758.83,0.92,86
16,USA,2024.00,Dengue,340110988,0,'0,0,10160,5293,4867,'23,'35,'31,'11,83,17,93.24,4.29,5.64,Medication,87.75,0,19.19,'4096,Medium,71,,,83
17,Nigeria,2009.00,Leprosy,162049464,0,'0,,5774,3678,2096,'15,'22,'41,'22,43,57,30.05,0.34,1.5,Medication,50.8,0,-3.05,'1857,Low,25.6,'1801.44,0.43,42.8
18,Australia,2006.00,Alzheimer's Disease,20450966,,,,,,,,,,,,,95.06,3.07,4.14,Therapy,58.67,0,-36.88,'21213,medium,54.1,'39827.18,0.89,84.6
19,France,2015.00,Polio,66548272,0,'0,0,1373,680,693,'35,'20,'14,'31,79,21,86.15,2.95,4.73,Vaccination,54.8,0,3.57,'197,Medium,58.3,'36410.97,0.81,79.3
20,Indonesia,2001.00,Hypertension,219097902,0.68,'11.18,0.04,1489866,792609,697257,'6,'9,'35,'50,43,57,50.01,0.63,0.42,Medication,92.95,49.16,,'128,Medium,48.1,'779.71,0.51,42.7
21,T?u?r?k?e?y?,2019.00,Leprosy,82579440,0.01,'0,,4202,2567,1635,'11,'19,'40,'29,75,26,75.13,1.17,2.9,Medication,73.62,0,0.89,'8910,Medium,51.4,'8915.5,0.79,74.5
22,China,2001.00, Ebola ,1271850000,0.01,'0,0,100003,49401,50602,'13,'25,'35,'27,37,63,53.01,1.52,2.55,Medication,51.53,0,,'5816,~none~,24.2,'1047.45,0.48,37.1
23,South Africa,2014.00,Malaria,55594838,21.55,'24.55,0.03,11980688,6565417,5415271,'37,'30,'25,'8,63,37,66.09,1.19,2.61,Medication,72.97,196,14.84,'187,Medium,48.5,'6851.52,0.74,63.3
24,Japan,2021.00,Diabetes,125681593,0.94,'18.53,0.19,1181407,609606,571801,'1,'12,'48,'39,92,8,89.21,5.04,3.13,Medication,98.55,66.41,13.52,'3487,High,86.2,'40059.26,0.85,91.8
25,USA,2000.00,Asthma,282162411,0.86,'17,0.14,2426597,1057996,1368601,'24,'25,'27,'24,79,21,94,4.4,3.25,Medication,79.09,81.61,,'778,High,82.1,'36417.51,0.87,79
26,United Kingdom,2010.00,Diabetes,62766365,0.92,'17.21,0.08,577451,292768,284683,'2,'15,'40,'44,81,19,,,,Medication,52.91,68.19,-36.11,'1999,Medium,22.6,'39448.05,0.9,81.3
27,Can@da,2001.00,Tub?rculosis,31020855,0.25,'2.42,0.02,77552,45678,31874,'19,'25,'32,'24,77,23,90.01,2.93,8.44,Medication,80.52,11.36,,'1569,High,76.1,'23674.57,0.86,77.2
28,Russia,2003.00,Measles,144648618,3.59,'5.34,0.02,5192885,2606828,2586057,'52,'20,'8,'20,73,27,54.02,1.9,1.15,Medication,90.01,50,,'31,Medium,48.3,'2980.64,0.8,73.2
29,Mex!co,2022.00,Rabies,128613117,0.01,'0.01,0,12861,8643,4218,'16,'24,'35,'25,80,20,74.15,1.15,1.48,Medication,84.78,0.23,18.81,'76,Medium,51.2,'11402.14,0.71,79.6
30,United Kingdom,2019.00,Zika,66631000,0,'0,0,1694,830,864,'19,'30,'10,'41,82,18,,,,Medication,66.32,0,-9.11,'1191,Low,13.5,'42487.95,0.92,82.5
31,Japan,2002.00,Alzheimer's Disease,127445000,,,,,,,,,,,,,73.02,2.97,5.55,Therapy,64.88,0,,'19151,Low,46.5,'32810.59,0.82,91.1
32,Saudi Arabia,2006.00,Cancer,21459144,0.64,'11.24,0.07,137339,69906,67433,'3,'10,'35,'53,81,20,72.04,1.24,3.13,Medication,89.49,47.73,-3.72,'9241,High,54.3,'17540.2,0.63,80.5
33,Can@da,2001.00,Malaria,31020855,0,'0,0,521,268,253,'34,'30,'27,'9,77,23,70.01,3.69,6.62,Medication,67.79,0,,'800,High,68,'23674.57,0.86,77.2
34,?r?zil,2003.00,Parkinson's Disease,180622688,,,,,,,,,,,,,58.02,1.73,3.99,Medication,75.62,0,,'3252,Low,39.8,'3090.61,0.57,81.8
35,Can@da,2019.00,COVID-19,37618495,2.89,'3.22,0.02,1087175,592510,494665,'9,'25,'35,'31,80,20,91.19,3.04,8.13,Medication,62.21,33.63,-14.75,'5832,None,42.8,'46151.13,0.9,80.2
36,?r?zil,2011.00,Parkinson's Disease,195284734,,,,,,,,,,,,,63.07,1.35,2.99,Medication,80.2,0,-13.96,'4166,Low,39.6,'13396.63,0.62,83.8
37,France,2005.00,Diabetes,63180854,0.36,'6.26,0.05,227451,116682,110769,'3,'15,'43,'40,78,22,76.05,4.38,6.22,Medication,82.82,26.65,39.83,'2077,High,81.8,'34458.38,0.77,77.8
38,T?u?r?k?e?y?,2006.00,Malaria,70045349,0,'0,0,2863,1532,1331,'38,'31,'25,'6,68,32,65.04,2.31,1.6,Medication,93.53,0,0.62,'227,Medium,53.6,'7953.08,0.55,68
39,Australia,2014.00,HIV/A!DS,23475686,0.09,'0.69,0.01,21128,11705,9423,'6,'30,'39,'25,85,15,95.14,4.86,3.21,Medication,61.53,3.88,-3.16,'2265,High,64.2,'62047.65,0.91,85.4
40,Japan,2022.00,Malaria,125124989,0,'0,0,3653,1911,1742,'26,'27,'33,'13,92,8,79.22,5.06,8.55,Medication,51.6,0,-27.69,'1946,High,73.7,'34051.95,0.85,91.9
41,France,2008.00,Tub?rculosis,64375116,0.25,'2,0.03,160938,94953,65985,'17,'25,'33,'25,78,22,94.08,3.01,11.46,Medication,73.99,8.17,-17.8,'712,High,78.3,'45136.86,0.78,78.2
42,Mex!co,2006.00,Dengue,107253666,8.74,'10.69,0.07,9373970,4677611,4696359,'33,'36,'25,'6,75,25,52.04,2.19,2.59,Medication,90.72,110.02,-2.4,'70,Low,45.2,'9512.64,0.62,74.8
43,Indonesia,2000.00,Rabies,216077790,0.01,'0.01,0,21608,14348,7260,'19,'26,'35,'20,42,58,32,0.69,0.96,Medication,97.84,0.13,,'31,Low,34.8,'813.14,0.5,42
44,T?u?r?k?e?y?,2022.00,Measles,84979913,0.35,'0.35,0,297430,153771,143659,'51,'19,'8,'22,76,24,73.15,2.17,2.32,Medication,76.34,3.39,6.98,'150,High,60.5,'10419.65,0.79,76
45,G%rmany,2017.00,Cancer,82657002,0.95,'10.16,0.14,785242,394977,390265,'1,'7,'42,'49,77,23,82.17,4.19,4.17,Surgery,71.36,45.49,-24.89,'26867,High,62.2,'45281.72,0.94,77.2
46,?r?zil,2003.00,Alzheimer's Disease,180622688,,,,,,,,,,,,,65.02,2.41,3.9,Therapy,87.39,0,,'1604,Low,44.9,'3090.61,0.57,81.8
47,?r?zil,2010.00,HIV/A!DS,193701929,0.3,'2.57,0.03,581106,335879,245227,'13,'30,'35,'22,84,17,63.07,1.8,4.33,Medication,61.6,12.03,-25.62,'75,Medium,44.1,'11403.28,0.61,83.5
48,United Kingdom,2003.00,Malaria,59647577,0,'0,0,1990,1019,971,'33,'30,'25,'12,80,20,,,,Medication,53.7,0,,'831,Low,15.1,'34344.73,0.83,80.4
49,Australia,2009.00,Alzheimer's Disease,21691653,,,,,,,,,,,,,74.09,3.63,3.53,Therapy,93.65,0,78.72,'22347,Medium,55.3,'46699.79,0.9,84.9
50,Saudi Arabia,2023.00,Hypertension,33702731,1.4,'21.93,0.08,471838,256680,215158,'1,'8,'35,'56,85,15,58.15,1.68,3.17,Medication,85.19,101.97,-5.18,'3252,Medium,56.3,'32093.96,,84.8
51,India,2003.00,Alzheimer's Disease,1116803006,,,,,,,,,,,,,33.02,0.79,1.5,Medication,81.85,0,,'916,low,29.5,'536.77,0.4,28.1
52,Nigeria,2002.00,Measles,133471989,3.56,'4.59,0.01,4751603,2494592,2257011,'56,'22,'9,'13,38,63,20.01,0.63,0.4,Medication,74.02,37.92,,'5,Medium,31.8,'714.65,,37.5
53,China,2022.00,Zika,1412175000,0,'0,0,59977,30348,29629,'24,'30,'10,'36,60,40,69.15,1.52,2.28,Vaccination,84.34,0,18.19,'76,Medium,40.3,'12547.04,0.69,60.2
54,Argentina,2015.00,Cholera,43477012,0,'0,0,1490,805,685,'27,'30,'25,'18,91,9,68.1,2.19,2.88,Medication,81.03,0,53.15,'146,Medium,53.6,'14833.2,0.85,91
55,Argentina,2024.00,Cancer,45696159,1,'13.3,0.08,456962,242190,214772,'5,'9,'35,'51,92,8,70.16,2.22,3.08,Surgery,72.52,48.25,-1.49,'8716,High,53.5,,,92
56,It@l¥,2008.00, Ebola ,59211181,0.01,'0,0,3276,1687,1589,'6,'23,'41,'31,68,32,78.08,4.79,3.55,Therapy,74.51,0,-17.22,'14764,None,40.6,'40588.32,0.78,68.2
57,Russia,2019.00,Dengue,145453291,0.01,'0,0,7998,4215,3783,'29,'35,'25,'11,75,25,58.13,2.39,3.64,Medication,52.61,0,-27.9,'117,Medium,47.3,'11554.49,0.85,74.5
58,USA,2011.00,Dengue,311839461,0.01,'0,0,20679,10546,10133,'26,'35,'29,'10,81,19,94.11,4.02,7.49,Medication,80.17,0,-13.99,'2049,Medium,71.6,'49664.06,0.89,80.9
59,Argentina,2007.00,Measles,40016763,3.66,'4.08,0.01,1464614,727913,736701,'53,'20,'8,'19,90,10,51.05,1.33,4.7,Vaccination,91.28,33.34,19.09,'33,High,58.1,'7240.84,0.79,89.9
60,Russia,2023.00,Leprosy,143826130,0.01,'0,,9571,5877,3694,'8,'20,'40,'32,75,25,53.15,1.38,2.35,Medication,98.03,0,9.12,'8156,Medium,49.7,'13809.21,,74.8
61,China,2014.00,Polio,1371860000,0,'0,0,22400,11334,11066,'40,'20,'10,'30,51,49,71.09,2.36,3.36,Vaccination,58.47,0,-7.98,'8,High,58.6,'7547.54,0.62,51.4
62,Japan,2017.00,Tub?rculosis,126972000,0.16,'1.19,0.02,203155,121893,81262,'13,'22,'37,'27,92,8,82.17,2.97,5.66,Medication,66.11,6.16,-30.42,'2137,High,67.7,'38805.72,0.85,91.7
63,?r?zil,2013.00, Ebola ,198478299,0,'0,0,4300,2266,2034,'12,'25,'35,'28,84,16,66.09,1.79,3.78,Therapy,70.43,0,-4.81,'4381,None,31.5,'12458.89,0.67,84.3
64,Japan,2005.00,Influen&za,127773000,11.29,'12.7,0.09,14425572,7068530,7357042,'22,'24,'35,'20,91,9,86.05,4.91,9.1,Vaccination,75.42,118.05,27.33,'271,High,80.4,'37771.41,0.83,91.2
65,Nigeria,2010.00,Diabetes,166642886,0.35,'5.01,0.03,583250,312622,270628,'10,'17,'42,'32,44,57,25.05,0.31,1.01,Medication,88.66,22.57,7.05,'160,Medium,39.7,'2248.92,0.42,43.5
66,Russia,2008.00,Asthma,142742366,0.73,'8.18,0.04,1042019,474119,567900,'26,'25,'25,'24,74,26,55.05,1.69,4.94,Medication,72.26,31.85,-19.72,'36,Medium,55.4,'11661.82,0.81,73.6
67,Nigeria,2017.00,HIV/A!DS,200254579,0.63,'4.73,0.09,1261604,738038,523566,'14,'31,'37,'18,49,51,33.09,0.59,0.29,Medication,96.1,22.91,1.15,'19,Medium,34.7,'1876.33,0.5,48.8
68,France,2006.00, Ebola ,63622342,0,'0,0,1080,535,545,'8,'25,'38,'30,78,22,70.06,3.21,4.87,Medication,64.38,0,-30.74,'13226,None,35.6,'36182.58,0.78,77.9
69,South Korea,2000.00,Alzheimer's Disease,47008111,,,,,,,,,,,,,80,2.63,2.76,Therapy,67.77,0,,'17842,Low,44.5,'12782.65,0.79,78
70,Australia,2024.00,Measles,27204809,1.88,'2.47,0.01,511450,268511,242939,'43,'20,'14,'23,86,14,82.24,2.84,11.48,Vaccination,75.4,20.07,2.42,'1651,High,74.9,,,86
71,South Africa,2017.00,Hepatitis,57635162,0.29,'2,0.04,167142,106804,60338,'6,'15,'35,'44,64,36,59.11,1.84,1.89,Medication,70.46,8.95,-25.84,'55,Medium,47,'6612.92,0.73,64.5
72,Argentina,2006.00,Measles,39622115,4.05,'5.94,0.02,1604696,816790,787906,'53,'21,'8,'18,90,10,58.04,1.51,2.62,Medication,64.73,49.43,-30.36,'33,High,52.9,'5915.67,0.79,89.8
73,USA,2002.00,Hepatitis,287625193,0.39,'3.85,0.04,1121738,668556,453182,'4,'15,'37,'44,79,21,82.02,3.41,2.03,Medication,94.23,17.32,,'1519,High,69.1,'38069.33,0.87,79.3
74,USA,2012.00,Diabetes,314339099,0.29,'3.03,0,911583,471288,440295,'1,'15,'44,'40,81,19,77.12,3.58,2.46,Medication,95.01,12.37,45.16,'2926,High,76.6,'51255.7,0.9,81
75,Australia,2017.00,Cholera,24592588,0,'0,0,1206,655,551,'20,'30,'30,'21,86,14,81.17,4.89,11.13,Medication,87.03,0,-8.4,'2863,Medium,75.1,'57085.77,0.91,85.7
76,T?u?r?k?e?y?,2003.00,HIV/A!DS,67831730,0.05,'0.47,0.01,33916,18993,14923,'14,'31,'35,'21,67,34,66.02,1.48,1.43,Medication,78.8,2.61,,'733,Low,38.5,'4637.88,0.53,66.5
77,India,2017.00,Polio,1359657400,0,'0,0,67863,36985,30878,'44,'21,'10,'25,33,67,36.09,0.57,0.96,Medication,60.5,0,-36.32,'9,Medium,34.3,'1930.14,0.54,33.5
78,India,2010.00, Ebola ,1243481564,0,'0,0,43771,23593,20178,'15,'27,'35,'24,31,69,27.05,0.19,1.39,Medication,75.42,0,-8.94,'236,~none~,18.1,'1342.7,0.46,30.8
79,T?u?r?k?e?y?,2009.00,Parkinson's Disease,72039206,,,,,,,,,,,,,63.06,1.6,2.25,Medication,92.6,0,76.72,'6184,Low,41.3,'8960.06,0.58,69.5
80,?r?zil,2024.00,Diabetes,211998573,0.22,'3.18,0.03,466397,254186,212211,'5,'14,'40,'41,87,13,65.16,1.18,1.42,Medication,61.8,13.4,-16.06,'350,High,57.6,,,87
81,Saudi Arabia,2013.00,Zika,27624004,0,'0,0,972,471,501,'21,'30,'10,'39,82,18,70.09,2.02,3.79,Medication,60.11,0,-18.76,'384,None,31.4,'26897.96,0.71,82.3
82,Japan,2003.00,Zika,127718000,0.01,'0,0,9365,4364,5001,'22,'29,'15,'35,91,9,70.03,3.59,4.72,Medication,67.02,0,,'658,None,36.6,'35400.01,0.83,91.1
83,Mex!co,2013.00,Influen&za,118343573,8.22,'10.64,0.02,9727842,4932016,4795826,'27,'25,'30,'18,77,23,54.09,1.22,4.8,Medication,96.32,80.92,30.18,'18,Medium,52.5,'11216.8,0.67,76.9
84,G%rmany,2008.00,Polio,82110097,0.01,'0,0,4389,2164,2225,'36,'18,'16,'31,76,24,71.08,4.06,10.54,Medication,62.14,0,-30.96,'280,High,72.8,'46957.83,0.92,76
85,United Kingdom,2001.00,Asthma,59119673,0.87,'8.84,0.07,514341,224767,289574,'24,'25,'25,'26,80,20,,,,Medication,52,47.21,,'919,Medium,22.4,'27829.1,0.81,80.1
86,France,2012.00,Polio,65657659,0.01,'0,0,3536,1764,1772,'36,'20,'14,'30,79,21,95.12,4.65,5.58,Vaccination,58.35,0,-10.85,'175,High,74.3,'40547.69,0.8,78.8
87,It@l¥,2002.00,Hepatitis,57089824,0.38,'3.48,0.05,216941,130165,86776,'2,'14,'39,'44,67,33,76.02,3.36,6.17,Medication,92.64,16.92,,'615,High,72.6,'22322.05,0.73,67.3
88,Russia,2009.00,COVID-19,142785348,2.9,'3.41,0.02,4140775,2227737,1913038,'16,'25,'30,'29,74,26,67.06,1.17,3.65,Medication,86.8,25.82,65.65,'1077,None,32.5,'8581.52,0.8,73.7
89,United Kingdom,2008.00,Cancer,61806995,0.98,'11.5,0.13,605709,301643,304066,'2,'10,'35,'53,81,19,,,,Medication,97.46,50.66,8.28,'21449,Medium,25.2,'47230.71,0.87,81
90,Nigeria,2003.00,Polio,137202644,0.07,'0.07,0.01,96042,50326,45716,'46,'22,'11,'21,38,62,27.02,0.52,0.9,Medication,63.55,1,,'5,High,39.4,'764.65,0.39,38.3
91,Australia,2013.00,Cancer,23128129,0.59,'10.1,0.07,136456,70275,66181,'1,'10,'39,'50,85,15,86.13,2.73,2.51,Medication,57.43,44.66,-22.38,'22109,Medium,49,'66447.48,0.9,85.3
92,Can@da,2015.00,Cholera,35704498,0,'0,0,1509,797,712,'20,'30,'29,'21,80,20,90.15,4.74,2.45,Medication,93.68,0,77.06,'3131,Medium,68.1,'43281.74,0.9,79.6
93,United Kingdom,2023.00,Polio,68492000,0,'0,0,1794,927,867,'33,'20,'10,'37,83,17,,,,Vaccination,71.01,0,-20.96,'640,Medium,23.6,'49224.06,,83
94,South Africa,2001.00,Dengue,47566800,0.01,'0,0,3737,1966,1771,'34,'36,'25,'5,58,42,53.01,2.1,4.97,Medication,86.17,0,,'95,Low,47.6,'2847.15,0.62,58.4
95,USA,2020.00,Influen&za,331577720,5.62,'7.17,0.05,18634668,9615489,9019179,'19,'25,'35,'21,82,18,94.2,4.28,2.73,Medication,58.75,56.37,-40.39,'631,High,69.3,'62910.5,0.92,82.4
96,Argentina,2012.00,Malaria,42161721,0,'0,0,1613,869,744,'37,'30,'25,'8,91,9,51.08,1.37,4.19,Medication,89.14,0,36.2,'71,Medium,50,'13790.49,0.84,90.6
97,?r?zil,2021.00,Malaria,209550294,0,'0,0,8887,5057,3830,'36,'29,'25,'10,86,14,67.14,1.32,4.16,Medication,76.76,0,-11.58,'112,Medium,51.9,'7972.54,0.71,86.3
98,China,2013.00,Cancer,1363240000,0.13,'1.83,0.01,1772212,925095,847117,'5,'10,'35,'50,50,50,63.09,1.4,1.23,Medication,67.24,8.23,-9.12,'7349,Medium,40.3,'6940.11,0.61,50.3
99,?r?zil,2009.00,Rabies,192079951,0,'0,0,2812,1881,931,'18,'25,'35,'22,83,17,72.06,2.49,4.75,Medication,90.18,0.03,72.1,'37,Medium,59.6,'8678.66,0.61,83.3
100,Russia,2012.00,Asthma,143378447,0.38,'5.99,0.06,544838,246812,298026,'26,'25,'25,'24,74,26,72.08,2.02,3.27,Medication,94.04,21.44,43.68,'42,High,71.4,'15304.44,0.82,74
101,?r?zil,2016.00,Leprosy,203218114,0.07,'0.34,,142253,89335,52918,'12,'20,'40,'29,85,15,55.11,2.38,1.4,Medication,86.81,1.75,28.89,'5435,Medium,49.6,'8836.29,0.68,85
102,Russia,2021.00,Diabetes,144746762,0.94,'11.64,0.02,1360620,712965,647655,'4,'15,'40,'41,75,25,52.14,1.74,1.15,Medication,87.97,41.93,1.34,'1681,Medium,52.2,'12640.15,0.85,74.7
103,T?u?r?k?e?y?,2020.00,Parkinson's Disease,83384680,,,,,,,,,,,,,69.13,2.27,3.44,Therapy,91.8,0,-6.85,'10237,Low,45.7,'8367.11,0.79,75
104,Mex!co,2008.00,Dengue,110374288,2.43,'2.67,0,2682095,1349094,1333001,'33,'35,'25,'7,75,25,72.05,1.41,1.75,Medication,92.23,22.59,2.47,'72,Medium,53,'10523.77,0.63,75.4
105,Australia,2020.00,Malaria,25649248,0,'0,0,414,222,192,'29,'30,'30,'11,86,14,71.2,4.82,8.41,Medication,85.7,0,-13.04,'1776,High,77,'55758.83,0.92,86
106,Australia,2006.00,Hypertension,20450966,1.85,'27.33,0.08,378343,197873,180470,'1,'8,'38,'53,85,15,72.06,2.6,8.6,Medication,59.44,112.63,-36.05,'1651,High,74.2,'39827.18,0.89,84.6
107,Nigeria,2013.00,COVID-19,181049443,2.79,'3.05,0.01,5051279,2833768,2217511,'20,'26,'32,'22,46,54,33.07,0.39,1.29,Medication,59.41,28.95,-19.71,'144,none,17.4,'2876.54,0.45,45.8
108,Japan,2013.00,Alzheimer's Disease,127445000,,,,,,,,,,,,,88.13,5.05,8.73,Therapy,51.68,0,-30.15,'27028,Medium,61.5,'40809.42,0.85,91.5
109,South Korea,2023.00, Ebola ,51712619,0.01,'0,0,3612,1889,1723,'8,'25,'35,'32,82,18,86.23,3.22,9.7,Therapy,76.67,0,-14.66,'38556,Medium,54.2,'35538.22,,81.9
110,Saudi Arabia,2024.00,Malaria,35300280,0.01,'0,0,2046,1115,931,'28,'30,'25,'17,85,15,63.16,1.57,3.98,Medication,90.56,0,23.01,'857,Medium,53.8,,,85
111,China,2023.00,Cancer,1410710000,0.25,'4.05,0.04,3526775,1851557,1675218,'3,'10,'35,'52,61,39,61.15,2,3.73,Medication,83.95,16.39,-6.56,'12741,Medium,47,'12508.77,,61.3
112,China,2013.00,Hepatitis,1363240000,0.53,'3.54,0.05,7225172,4450706,2774466,'5,'15,'35,'45,50,50,57.09,1.7,2.4,Medication,54.76,20.81,-25.99,'43,Medium,43.9,'6940.11,0.61,50.3
113,Australia,2003.00,Measles,19720737,2.32,'2.65,0,457521,231963,225558,'48,'20,'10,'21,84,16,89.03,3.69,11.57,Medication,58.4,23.68,,'652,medium,68.8,'28275.26,0.88,84.3
114,Japan,2010.00,Tub?rculosis,128070000,0.26,'2.09,0.03,332982,201454,131528,'15,'23,'36,'26,91,9,80.1,2.92,10.28,Medication,90.54,10.65,9.32,'1574,High,77.3,'44927.72,0.84,91.4
115,T?u?r?k?e?y?,2007.00,Dengue,70158112,0,'0,0,2554,1310,1244,'33,'35,'25,'7,69,32,65.05,2.11,2.9,Medication,83.86,0,9.41,'200,Medium,53.1,'9629.9,0.56,68.5
116,South Korea,2007.00,Cholera,48683638,0,'0,0,623,333,290,'27,'30,'25,'18,79,21,82.07,4.69,10.3,Medication,65.96,0,-13.95,'1416,Medium,71,'25338.4,0.83,79.2
117,Mex!co,2009.00, Ebola ,111999721,0.01,'0,0,7573,3915,3658,'13,'25,'35,'27,76,24,51.06,1.85,2.69,Medication,94.83,0,80.97,'7320,None,30.7,'8423.57,0.64,75.7
118,USA,2023.00,Dengue,336806231,0.01,'0,0,24026,12542,11484,'23,'35,'30,'11,83,17,75.23,4.92,6.09,Medication,52.79,0,-41.24,'4036,Medium,62.1,'80706.05,,82.9
119,USA,2004.00,Leprosy,292805298,0,'0,,2788,1628,1160,'8,'20,'43,'29,80,20,88.04,4.15,3.51,Medication,93.78,0,,'9956,Medium,67.4,'41727.36,0.87,79.7
120,Russia,2017.00,Diabetes,145293260,0.67,'6.83,0.07,973465,504255,469210,'5,'15,'40,'40,74,26,51.11,1.95,4.01,Medication,58.86,25.57,-38.05,'1342,Medium,51,'10768.41,0.83,74.4
121,Mex!co,2008.00,Dengue,110374288,2.43,'2.67,0,2682095,1349094,1333001,'33,'35,'25,'7,75,25,72.05,1.41,1.75,Medication,92.23,22.59,2.47,'72,Medium,53,'10523.77,0.63,75.4
122,Saudi Arabia,2007.00,Diabetes,22368313,0.79,'14.81,0.11,176710,89945,86765,'2,'15,'40,'43,81,19,71.05,1.45,3.76,Medication,54.99,66.43,-28.26,'1381,High,62.3,'18583.76,0.63,80.8
123,It@l¥,2007.00,Hepatitis,58756247,0.2,'1.25,0.02,117512,70507,47005,'1,'13,'40,'45,68,32,79.07,4.94,4.56,Medication,67.71,7.45,-11.66,'709,High,71,'37600.61,0.77,68.1
124,Russia,2000.00,Polio,146596869,0,'0,0,3398,1679,1719,'43,'20,'10,'27,73,27,56,1.09,2.89,Medication,64.8,0,,'5,High,51.6,'1782.79,0.76,73
125,India,2002.00,Parkinson's Disease,1097600380,,,,,,,,,,,,,41.01,0.78,0.92,Medication,96.66,0,,'1565,low,33.1,'467.18,0.38,27.8
126,United Kingdom,2014.00,Zika,64620000,0,'0,0,1262,606,656,'21,'30,'10,'40,82,18,,,,Medication,66.85,0,5.21,'992,None,9.4,'47246.82,0.92,81.8
127,G%rmany,2015.00,Leprosy,81686611,0.01,'0,,6295,3790,2505,'4,'18,'47,'32,77,23,75.15,2.8,10.42,Medication,93.67,0,77.04,'12650,Medium,69,'41711.39,0.95,77
